Gallus gallus
Milvus milvus
Calidris canutus
Anthochaera carunculata
Malurus melanocephalus
Lanius collurio
Melanerpes carolinus
Campylorhamphus trochilirostris
Leistes militaris
Mergus serrator
Sitta canadensis
Petroica goodenovii
Picoides borealis
Paroaria coronata
Grus japonensis
Cyanoramphus novaezelandiae
Vireo olivaceus
Falco vespertinus
Eubucco bourcierii
Melanerpes erythrocephalus
Alectoris rufa
Cariama cristata
Recurvirostra novaehollandiae
Buteo lineatus
Buteo jamaicensis
Pycnonotus cafer
Vanellus indicus
Agelaius phoeniceus
Aprosmictus erythropterus
Sericulus chrysocephalus
Pharomachrus mocinno
Cerorhinca monocerata
Acanthisitta chloris
Larus delawarensis
Rupornis magnirostris
Columba livia
Lagopus muta
Corvus frugilegus
Pheucticus ludovicianus
Psittacula krameri
Platalea ajaja
Pastor roseus
Platalea regia
Regulus calendula
Archilochus colubris
Oxyura jamaicensis
Columbina talpacoti
Tadorna ferruginea
Arenaria interpres
Tigrisoma lineatum
Calidris pugnax
Furnarius rufus
Selasphorus rufus
Nycticorax caledonicus
Ninox rufa
Conopophila albogularis
Zonotrichia capensis
Campylorhynchus rufinucha
Euphagus carolinus
Todiramphus sanctus
Riparia riparia
Antigone canadensis
Thalasseus sandvicensis
Antigone antigone
Tragopan satyra
Buteogallus meridionalis
Passerculus sandwichensis
Locustella luscinioides
Sayornis saya
Callipepla squamata
Lonchura punctulata
Eudocimus ruber
Ara macao
Piranga olivacea
Tyrannus forficatus
Lipaugus vociferans
Tympanuchus phasianellus
Molothrus bonariensis
Thinornis novaeseelandiae
Certhia brachydactyla
Zosterops lateralis
Pericrocotus cinnamomeus
Mergellus albellus
Crotophaga ani
Plectrophenax nivalis
Diomedea exulans
Egretta thula
Bubo scandiacus
Melospiza melodia
Turdus philomelos
Petroica australis
Philesturnus carunculatus
Porphyrio hochstetteri
Casuarius casuarius
Vanellus chilensis
Stelgidopteryx ruficollis
Chauna torquata
Dicrurus bracteatus
Pulsatrix perspicillata
Malurus splendens
Calidris pygmea
Zapornia tabuensis
Sturnus unicolor
Streptopelia chinensis
Nothura maculosa
Strix occidentalis
Bucco tamatia
Actitis macularius
Phalacrocorax punctatus
Pipilo maculatus
Anthus spragueii
Ardeola ralloides
Piaya cayana
Urocissa ornata
Batrachostomus moniliger
Cyanocitta stelleri
Aquila nipalensis
Notiomystis cincta
Pelargopsis capensis
Alectrurus risora
Coturnix pectoralis
Cacatua galerita
Anthracoceros montani
Aratinga solstitialis
Eurypyga helias
Heliornis fulica
Menura novaehollandiae
Calidris virgata
Buteo swainsoni
Urocissa caerulea
Podargus strigoides
Strix aluco
Galerida theklae
Rollandia microptera
Ramphastos toco
Petroica macrocephala
Anthus trivialis
Tachycineta bicolor
Tyrannus melancholicus
Setophaga pitiayumi
Onychorhynchus coronatus
Bucanetes githagineus
Cygnus buccinator
Fratercula cirrhata
Baeolophus bicolor
Cygnus columbianus
Cathartes aura
Eumomota superciliosa
Linaria flavirostris
Prosthemadera novaeseelandiae
Cyanoloxia brissonii
Geospiza septentrionalis
Haematopus unicolor
Sporophila corvina
Ixoreus naevius
Chaetura vauxi
Auriparus flaviceps
Eumyias thalassinus
Pyrocephalus rubinus
Chrysococcyx xanthorhynchus
Tachycineta thalassina
Rallus limicola
Jacana jacana
Aquila audax
Gallirallus australis
Hirundo neoxena
Tetrao urogallus
Delichon urbicum
Coloeus monedula
Sturnella neglecta
Eudyptes chrysocome
Megascops kennicottii
Piranga ludoviciana
Motacilla flava
Hemiprocne comata
Ciconia ciconia
Motacilla alba
Dendrocopos leucotos
Haliaeetus leucogaster
Sitta carolinensis
Artamus leucoryn
Leptasthenura xenothorax
Leptopoecile sophiae
Garrulax leucolophus
Zonotrichia leucophrys
Egretta novaehollandiae
Plegadis chihi
Oxyura leucocephala
Cinclus cinclus
Halcyon smyrnensis
Cyanocorax formosus
Aeronautes saxatalis
Leptotila verreauxi
Cygnus cygnus
Grus americana
Meleagris gallopavo
Tringa semipalmata
Rhipidura leucophrys
Poecile montanus
Phylloscopus trochilus
Gallinago delicata
Oceanites oceanicus
Aix sponsa
Mycteria americana
Anarhynchus frontalis
Ixobrychus sinensis
Setophaga petechia
Sphyrapicus varius
Coccyzus americanus
Pica nuttallii
Icteria virens
Megadyptes antipodes
Xanthocephalus xanthocephalus
Daptrius chimachima
Setophaga coronata
Emberiza citrinella
Mohoua ochrocephala
Geopelia striata
